"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что при запросе данных заказа с указанием его номера данные возвращаются вместе с нужным кодом ответа","519","Успешное получение данных заказа по номеру","tests","2026-06-24","passed","2026-06-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяет, что при попытке создания курьера без заполнения полей логина или пароля возвращается ошибка","485","Ошибка незаполненного поля логина или пароля при создании курьера","tests","2026-06-24","failed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет успешное создание заказа с разными вариантами выбранного цвета самоката (черный, серый, черный и серый, никакой), возвращение нужного кода и ответа","1117","Успешное создание заказа с разными вариантами выбранного цвета самоката","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверяет, что при попытке залогинить курьера с неправильным логином или паролем возвращается ошибка","1055","Ошибка при попытке залогинить курьера с неправильным логином или паролем","tests","2026-06-24","failed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет, что при выполнении запроса возвращается список заказов с нужным кодом ответа","12727","Успешное получение списка заказов","tests","2026-06-24","passed","2026-06-24","TestOrdersList","test_orders_list","",""
"Проверяет, что при попытке создания курьера без заполнения полей логина или пароля возвращается ошибка","479","Ошибка незаполненного поля логина или пароля при создании курьера","tests","2026-06-24","failed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет, что при попытке удаления курьера с указанием несуществующего id курьера возвращается ошибка","581","Ошибка несуществующего id курьера при удалении курьера","tests","2026-06-24","passed","2026-06-24","TestDeleteCourier","test_delete_courier","",""
"Проверяет, что при попытке создания двух курьеров с одинаковыми данными возвращается ошибка","962","Ошибка при создании двух одинаковых курьеров","tests","2026-06-24","failed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет успешное создание заказа с разными вариантами выбранного цвета самоката (черный, серый, черный и серый, никакой), возвращение нужного кода и ответа","1073","Успешное создание заказа с разными вариантами выбранного цвета самоката","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверяет, что при попытке принять заказ без указания id заказа возвращается ошибка","503","Ошибка отсутствия id заказа при принятии заказа","tests","2026-06-24","failed","2026-06-24","TestAcceptOrder","test_accept_order","",""
"Проверяет, что при попытке залогинить курьера без указания логина или пароля возвращается ошибка","1063","Ошибка при попытке залогинить курьера без указания логина или пароля","tests","2026-06-24","failed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет, что при попытке удаления курьера без указания id курьера возвращается ошибка","489","Ошибка при удалении курьера без указания его id","tests","2026-06-24","failed","2026-06-24","TestDeleteCourier","test_delete_courier","",""
"Проверяет, что заказ успешно принимается, возвращается нужный код и ответ","527","Успешное принятие заказа","tests","2026-06-24","passed","2026-06-24","TestAcceptOrder","test_accept_order","",""
"Проверяет, что при попытке принять заказ без указания id курьера возвращается ошибка","656","Ошибка отсутствия id курьера при принятии заказа","tests","2026-06-24","failed","2026-06-24","TestAcceptOrder","test_accept_order","",""
"Проверяет, что курьер успешно залогинился и ответ возвращает нужный код и id курьера","492","Курьер успешно залогинился","tests","2026-06-24","passed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет, что при попытке залогинить курьера без указания логина или пароля возвращается ошибка","995","Ошибка при попытке залогинить курьера без указания логина или пароля","tests","2026-06-24","failed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет, что при попытке принять заказ с указанием несуществующего id заказа возвращается ошибка","479","Ошибка несуществующего id заказа при принятии заказа","tests","2026-06-24","failed","2026-06-24","TestAcceptOrder","test_accept_order","",""
"Проверяет, что при попытке залогинить курьера с неправильным логином или паролем возвращается ошибка","978","Ошибка при попытке залогинить курьера с неправильным логином или паролем","tests","2026-06-24","failed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет, что при попытке принять заказ с указанием несуществующего id курьера возвращается ошибка","472","Ошибка несуществующего id курьера при принятии заказа","tests","2026-06-24","failed","2026-06-24","TestAcceptOrder","test_accept_order","",""
"Проверяет, что курьер успешно создается, возвращается нужный код и ответ","481","Успешное создание курьера","tests","2026-06-24","passed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет, что при попытке получения данных заказа с указанием несуществующего номера заказа возвращается ошибка","566","Ошибка несуществующего заказа при получении данных заказа","tests","2026-06-24","failed","2026-06-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяет, что при попытке создания курьера с уже имеющимся в базе логином возвращается ошибка","1001","Ошибка уже существующего логина при создании курьера","tests","2026-06-24","failed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет, что при попытке создания курьера без заполнения полей логина или пароля возвращается ошибка","1531","Ошибка незаполненного поля логина или пароля при создании курьера","tests","2026-06-24","failed","2026-06-24","TestAddCourrier","test_add_courrier","",""
"Проверяет, что при попытке получения данных заказа без указания его номера возвращается ошибка","490","Ошибка при получении данных заказа без указания его номера","tests","2026-06-24","failed","2026-06-24","TestGetOrderByTrack","test_get_order_by_track","",""
"Проверяет успешное создание заказа с разными вариантами выбранного цвета самоката (черный, серый, черный и серый, никакой), возвращение нужного кода и ответа","1106","Успешное создание заказа с разными вариантами выбранного цвета самоката","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
"Проверяет, что курьер успешно удаляется из базы, возвращается нужный код и ответ","486","Успешное удаление курьера","tests","2026-06-24","passed","2026-06-24","TestDeleteCourier","test_delete_courier","",""
"Проверяет, что при попытке залогинить курьером с несуществующими логином и паролем возникает ошибка","478","Ошибка при попытке залогиниться несуществующим курьером","tests","2026-06-24","failed","2026-06-24","TestLoginCourrier","test_login_courrier","",""
"Проверяет успешное создание заказа с разными вариантами выбранного цвета самоката (черный, серый, черный и серый, никакой), возвращение нужного кода и ответа","1041","Успешное создание заказа с разными вариантами выбранного цвета самоката","tests","2026-06-24","passed","2026-06-24","TestCreateOrder","test_create_order","",""
